Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R110","18R 5W","R_Axial_Power_L25.0mm_W9.0mm_P30.48mm",138.450400,88.874600,0.000000,bottom
"C101","0.1μF","C_0603_1608Metric",87.909400,98.018600,0.000000,top
"C102","0.1μF C0G","C_1206_3216Metric",84.861400,73.888600,-90.000000,top
"C103","1nF NP0","C_0603_1608Metric",135.727400,97.378100,90.000000,top
"C104","0.1μF","C_0603_1608Metric",115.468400,35.788600,-90.000000,top
"C105","0.1μF","C_0603_1608Metric",107.467400,30.327600,0.000000,top
"C106","330μF","CP_Radial_D10.0mm_P5.00mm",122.446400,86.343600,90.000000,top
"C107","330μF","CP_Radial_D10.0mm_P5.00mm",122.446400,98.027600,90.000000,top
"C108","47pF","C_0603_1608Metric",118.643400,35.788600,90.000000,top
"C109","120pF","C_0603_1608Metric",120.167400,35.788600,90.000000,top
"C110","0.1μF","C_0603_1608Metric",144.685400,82.986600,-90.000000,top
"C111","0.1μF","C_0603_1608Metric",121.430400,70.794600,90.000000,top
"C112","4.7μF-T35","CP_EIA-6032-15_Kemet-U",136.811400,76.509600,90.000000,top
"C113","4.7μF-T35","CP_EIA-6032-15_Kemet-U",129.304400,77.652600,-90.000000,top
"C114","4.7μF-T35","CP_EIA-6032-15_Kemet-U",144.932400,63.220600,-90.000000,top
"C115","4.7μF-T35","CP_EIA-6032-15_Kemet-U",138.956400,62.864600,90.000000,top
"C117","0.1μF","C_0603_1608Metric",95.923400,69.697600,0.000000,top
"C118","0.1μF","C_0603_1608Metric",98.923400,71.983600,180.000000,top
"C119","0.1μF","C_0603_1608Metric",98.910400,74.523600,180.000000,top
"C120","0.1μF","C_0603_1608Metric",88.229400,71.983600,0.000000,top
"C201","270pF","C_0603_1608Metric",14.503400,9.512600,90.000000,top
"C202","180pF","C_1206_3216Metric",16.535400,10.212600,90.000000,top
"C203","0.1μF C0G","C_1206_3216Metric",36.855400,28.676600,180.000000,top
"C204","1nF NP0","C_0603_1608Metric",7.917800,64.059100,0.000000,top
"C205","0.1μF","C_0603_1608Metric",14.267800,64.948100,180.000000,top
"C206","0.1μF","C_0603_1608Metric",25.552400,36.465100,180.000000,top
"C207","0.1μF","C_0603_1608Metric",20.472400,44.212100,-90.000000,top
"C208","180pF","C_1206_3216Metric",13.028400,28.676600,180.000000,top
"C209","47pF","C_0603_1608Metric",25.552400,33.417100,0.000000,top
"C210","100pF","C_0603_1608Metric",13.741400,26.009600,180.000000,top
"C211","120pF","C_0603_1608Metric",25.552400,31.893100,0.000000,top
"C212","1nF NP0","C_0603_1608Metric",12.103400,34.137600,180.000000,top
"C213","270pF","C_0603_1608Metric",9.042400,34.137600,180.000000,top
"C214","1nF NP0","C_0603_1608Metric",8.788400,38.709600,0.000000,top
"C215","390pF","C_0603_1608Metric",13.741400,38.709600,0.000000,top
"C216","0.1μF","C_0603_1608Metric",6.756400,68.300600,0.000000,top
"C217","0.1μF","C_0603_1608Metric",17.424400,72.237600,180.000000,top
"C218","0.1μF","C_0603_1608Metric",44.348400,14.798600,180.000000,top
"C219","0.1μF","C_0603_1608Metric",39.141400,22.291600,-90.000000,top
"C220","0.1μF","C_0603_1608Metric",18.313400,57.505600,180.000000,top
"C221","0.1μF","C_0603_1608Metric",48.325600,29.919400,180.000000,top
"C222","0.1μF","C_0603_1608Metric",40.792400,26.644600,180.000000,top
"C223","1nF NP0","C_0603_1608Metric",36.855400,31.343600,90.000000,top
"C224","10μF PET","C_Rect_L18.0mm_W9.0mm_P15.00mm_FKS3_FKP3",49.769200,37.705800,180.000000,top
"C225","1nF NP0","C_0603_1608Metric",48.285400,26.898600,180.000000,top
"C226","0.1μF","C_0603_1608Metric",54.813200,24.130000,0.000000,top
"C301","0.1μF","C_0603_1608Metric",64.496400,14.998200,180.000000,top
"C302","0.1μF","C_0603_1608Metric",59.543400,22.364200,-90.000000,top
"C303","0.1μF","C_0603_1608Metric",84.848400,14.900500,180.000000,top
"C304","0.1μF","C_0603_1608Metric",79.908400,22.393500,-90.000000,top
"C305","0.1μF","C_0603_1608Metric",105.181400,14.900500,180.000000,top
"C306","0.1μF","C_0603_1608Metric",99.974400,22.520500,-90.000000,top
"C307","47pF","C_0603_1608Metric",64.554400,11.887200,0.000000,top
"C308","47pF","C_0603_1608Metric",84.861400,11.852500,0.000000,top
"C309","47pF","C_0603_1608Metric",105.181400,11.852500,0.000000,top
"C310","120pF","C_0603_1608Metric",64.554400,10.363200,0.000000,top
"C311","120pF","C_0603_1608Metric",84.861400,10.328500,0.000000,top
"C312","120pF","C_0603_1608Metric",105.181400,10.388600,0.000000,top
"C313","0.1μF","C_0603_1608Metric",125.628400,14.900500,180.000000,top
"C314","0.1μF","C_0603_1608Metric",120.421400,22.520500,-90.000000,top
"C315","0.1μF","C_0603_1608Metric",145.821400,14.900500,180.000000,top
"C316","0.1μF","C_0603_1608Metric",140.741400,22.393500,-90.000000,top
"C317","0.1μF","C_0603_1608Metric",166.268400,14.900500,180.000000,top
"C318","0.1μF","C_0603_1608Metric",160.934400,22.647500,-90.000000,top
"C319","47pF","C_0603_1608Metric",125.628400,11.852500,0.000000,top
"C320","47pF","C_0603_1608Metric",145.821400,11.852500,0.000000,top
"C321","47pF","C_0603_1608Metric",166.268400,11.852500,0.000000,top
"C322","120pF","C_0603_1608Metric",125.628400,10.328500,0.000000,top
"C323","120pF","C_0603_1608Metric",145.821400,10.328500,0.000000,top
"C324","120pF","C_0603_1608Metric",166.268400,10.328500,0.000000,top
"C401","10μF","C_0805_2012Metric",8.026400,29.514800,180.000000,top
"C402","0.1μF","C_0603_1608Metric",89.762953,103.951600,-90.000000,top
"C403","10μF","C_0805_2012Metric",92.670953,102.059600,0.000000,top
